epoch,train_loss,val_loss
1,0.0402944114473131,0.08741896599531174
2,0.031757995693220034,0.08197730779647827
3,0.02714572110109859,0.07254024595022202
4,0.022632010156909625,0.038747988641262054
5,0.01888856855738494,0.0196062121540308
6,0.02019021575235658,0.02029755525290966
7,0.017681142687797545,0.01757070980966091
8,0.01580957281920645,0.014727998524904251
9,0.016677571998702154,0.019373757764697075
10,0.015174778882000181,0.01974417455494404
11,0.016476643965062168,0.031709276139736176
12,0.01706862673163414,0.015672894194722176
13,0.01509318660116858,0.020943060517311096
14,0.016387278441753653,0.016850436106324196
15,0.0150989621049828,0.017323864623904228
16,0.01759879094445043,0.01445745024830103
17,0.01674299365323451,0.012367482297122478
18,0.01649730069976714,0.021849462762475014
19,0.012762961164116859,0.013288900256156921
20,0.013500740865452422,0.020918579772114754
21,0.01482042007976108,0.013910974375903606
22,0.011863029417064455,0.012826469726860523
23,0.013970578668846025,0.021646874025464058
24,0.017510092299845483,0.01482174452394247
25,0.015309812832209798,0.011214382946491241
26,0.013973913859162065,0.01707935705780983
27,0.014144053496420384,0.011880152858793736
28,0.012752299879988034,0.02359059639275074
29,0.012811033127622471,0.01830925978720188
30,0.01365334718591637,0.019274402409791946
31,0.015169636610921265,0.0319971926510334
32,0.013185498283969031,0.012435520999133587
33,0.01649024523794651,0.01135222613811493
34,0.015818896227412754,0.01646403782069683
35,0.014704744993812508,0.012277692556381226
36,0.012042382980386417,0.011095236986875534
37,0.01553863576716847,0.012312129139900208
38,0.014936425536870957,0.012850683182477951
39,0.015119467717077997,0.01981930620968342
40,0.01549569968548086,0.013156036846339703
41,0.014071289325753848,0.016302742063999176
42,0.010908268040253057,0.012194684706628323
43,0.012977645422021547,0.02281196415424347
44,0.012523642803231875,0.013387247920036316
45,0.015276355337765482,0.016053086146712303
46,0.011481098292602434,0.011660739779472351
47,0.013165243963400523,0.020044362172484398
48,0.012724318727850913,0.012732178904116154
49,0.012115816813376215,0.013818229548633099
50,0.01235509274734391,0.016034921631217003
51,0.010986860220630964,0.01468231063336134
52,0.012308624593747987,0.012339632958173752
53,0.01259607674760951,0.013799560256302357
54,0.011919881072309282,0.011901065707206726
55,0.011337750353333023,0.0193356703966856
56,0.010155213210317824,0.013613183051347733
57,0.011030085633198421,0.012772556394338608
58,0.010751964648564656,0.015054761432111263
59,0.009646131450103389,0.012913412414491177
60,0.010053382213744853,0.011949657462537289
61,0.010036918893456459,0.01279155258089304
62,0.00882865364352862,0.011937133967876434
63,0.011073858704831865,0.012375712394714355
64,0.010586955910548567,0.013387919403612614
65,0.010659874722154603,0.01480995211750269
66,0.011738930725389056,0.014437105506658554
