epoch,train_loss,val_loss
1,0.06663111475340668,0.0658881738781929
2,0.04606089369016921,0.07195303589105606
3,0.04522531905344555,0.06053558364510536
4,0.04704342731496408,0.06340436637401581
5,0.04640561866662687,0.06588900834321976
6,0.03073229685070969,0.02933901734650135
7,0.026333972878221954,0.018445584923028946
8,0.02232337838255002,0.027429185807704926
9,0.021711556548585316,0.021791445091366768
10,0.01994731226780762,0.012874380685389042
11,0.01818203245056793,0.01934107579290867
12,0.023001155951836456,0.022686166688799858
13,0.019296968411210747,0.015110312961041927
14,0.021849627559450233,0.01862233132123947
15,0.01816928250038819,0.024971822276711464
16,0.023285102054831527,0.020255787298083305
17,0.02077212205733217,0.017349597066640854
18,0.01711060210973734,0.01609724573791027
19,0.02068785734341613,0.03801319748163223
20,0.01917561893268222,0.01492640282958746
21,0.01963342021640745,0.012246866710484028
22,0.021862059964665344,0.015148879028856754
23,0.017169162370486275,0.01639540120959282
24,0.020142872615473435,0.013884428888559341
25,0.01985904135896514,0.014567784033715725
26,0.022614318833109878,0.01164789404720068
27,0.01912051619451848,0.018847325816750526
28,0.018767988170674516,0.016927344724535942
29,0.0174581130150251,0.027829216793179512
30,0.01977213869048726,0.018163977190852165
31,0.017032932889248644,0.014894064515829086
32,0.018413248499633654,0.026137815788388252
33,0.017578241420865413,0.023928707465529442
34,0.019259313753406917,0.01454040128737688
35,0.019399372364638283,0.01628621108829975
36,0.018799371917599013,0.015392960049211979
37,0.01773740577101264,0.014597426168620586
38,0.018149284485151015,0.014753577299416065
39,0.017383638845612517,0.015513374470174313
40,0.019599515724361742,0.015229779295623302
41,0.018492918126174204,0.016073519363999367
42,0.01674843748610112,0.015204942785203457
43,0.01624070867685424,0.01658438891172409
44,0.01730636358981775,0.01823301427066326
45,0.017261940107259545,0.012564286589622498
46,0.01596734810265757,0.013515711762011051
47,0.01769666490422207,0.015285447239875793
48,0.016524592212157414,0.013327729888260365
49,0.01794542678232704,0.014837956987321377
50,0.017266967336625038,0.01402330119162798
51,0.01577456719851831,0.014553382061421871
52,0.01435013925324061,0.013407302089035511
53,0.017467681357326608,0.01380108017474413
54,0.016427940733376004,0.014272416941821575
55,0.015660270921043343,0.011684362776577473
56,0.020441859123474432,0.013808048330247402
