변수,중요도
catch_lag12,0.50470376
chl,0.13825041
catch_lag1,0.0703571
o2,0.059472818
vo,0.05818143
month_cos,0.04768793
thetao,0.04763729
uo,0.028551659
so,0.0227867
month_sin,0.022370879
