,RMSE,MAE,MAPE,R2
Naive,951.9117876367593,742.5710338888889,72.24984004114219,0.3611270593218051
LinearRegression,587.3628121723441,443.4568036944202,45.074908470318,0.7567605697457049
XGBoost,584.1720108793195,456.75964795084644,46.914848094737735,0.7593961487920902
