,RMSE,MAE,MAPE,R2
Naive,951.9117876367593,742.5710338888889,72.24984004114219,0.3611270593218051
LinearRegression,591.5517348457826,445.3173997417601,44.99122867969796,0.7532787542431386
XGBoost,598.4876406859377,482.47396402072485,46.330662210092235,0.74745925515376
