,RMSE,MAE,MAPE,R2
Naive,951.9117876367593,742.5710338888889,72.24984004114219,0.3611270593218051
LinearRegression,826.5456159380784,572.5884846211397,47.70976253539453,0.5183242991980338
XGBoost,799.6133203360082,569.0853532451713,54.11351356663913,0.5492028882079578
