변수,중요도
catch_lag12,0.57870394
chl,0.0759868
catch_lag1,0.064654045
vo,0.054821357
o2,0.039877873
month_cos,0.03366791
thetao_lag12,0.032798957
thetao,0.026608912
catch_lag3,0.025204739
month_sin,0.024970904
uo,0.022427293
so,0.020277191
