epoch,train_loss,val_loss
1,0.04052470582315609,0.08462423086166382
2,0.02201164569262238,0.0367947556078434
3,0.0201228550812673,0.022934941574931145
4,0.02153504072200684,0.019634434953331947
5,0.02391065535179916,0.018989941105246544
6,0.020734246997606186,0.014145213179290295
7,0.019491846279595933,0.025321565568447113
8,0.02083462809345552,0.01694762520492077
9,0.018651907709205433,0.019963474944233894
10,0.01847853870796306,0.015732182189822197
11,0.016878036893017236,0.017686856910586357
12,0.020902705001866535,0.019923778250813484
13,0.016421512589745578,0.017474090680480003
14,0.01635181347263001,0.01945907063782215
15,0.018025696809802736,0.014158154837787151
16,0.017336946346664002,0.015592546202242374
17,0.014626045844384603,0.014878797344863415
18,0.015086125826374405,0.015053980983793736
19,0.013903179749225577,0.015382123179733753
20,0.015149475474442755,0.014188024215400219
21,0.016334616113454103,0.015884919092059135
22,0.016491330317443327,0.015051953494548798
23,0.016103762601103102,0.017153069376945496
24,0.013952592631713265,0.0148473447188735
25,0.016812459615591382,0.01557851955294609
26,0.013821450782762397,0.014105737209320068
27,0.012891394485320364,0.01285472046583891
28,0.013972424170268434,0.0179558414965868
29,0.013658240016195037,0.015222449786961079
30,0.013430390418285415,0.016735533252358437
31,0.011126753641292453,0.014389365911483765
32,0.014004726971810063,0.017183883115649223
33,0.015378236986829765,0.017903050407767296
34,0.01224592033152779,0.016844218596816063
35,0.01067170386557423,0.017739126458764076
36,0.01280676633940034,0.01635381020605564
37,0.012317991571589595,0.016977356746792793
38,0.01246890242743705,0.017726575955748558
39,0.011820220942830756,0.02212461270391941
40,0.012763645887995759,0.017241856083273888
41,0.009609035205184704,0.016430679708719254
42,0.010510068808105729,0.018574150279164314
43,0.010099526771920778,0.018722208216786385
44,0.010458092260662289,0.01886250637471676
45,0.011521630343936738,0.019162306562066078
46,0.010631937456006805,0.01585133746266365
47,0.011300702401924701,0.01697113923728466
48,0.013982454691791818,0.017395716160535812
49,0.011492592814777578,0.017726300284266472
50,0.011245831836103684,0.019475365057587624
51,0.010008918808861858,0.01874971203505993
52,0.008555905704963066,0.01996149681508541
53,0.011047730200170051,0.019216615706682205
54,0.011509163371686424,0.017546208575367928
55,0.009663943090431747,0.019563643261790276
56,0.01060859187107001,0.01650175265967846
57,0.009010315473590578,0.01733400486409664
